                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     96,                 1.1442,                 2.6316,                 0.7851,                 1.0899,                0.62252,                0.43691,                  0.468,                0.28387,                0.54766,                0.36748,                0.37404,                0.18478,                 1.4084,                  3.155,                  1.009,                 1.1733,               0.008119,               0.008119,               0.008119
                     97,                 1.1395,                  2.625,                0.77849,                 1.0898,                0.64862,                0.42669,                0.47166,                0.28374,                0.57027,                0.35763,                0.36518,                0.17964,                 1.4151,                 3.1638,                 1.0109,                  1.177,              0.0080992,              0.0080992,              0.0080992
                     98,                 1.1337,                 2.6048,                0.77475,                  1.088,                0.63229,                0.42713,                0.46483,                0.28312,                0.56716,                0.35612,                0.36599,                0.18218,                 1.4102,                 3.1458,                 1.0119,                 1.1717,              0.0080794,              0.0080794,              0.0080794
                     99,                  1.136,                 2.6021,                 0.7736,                 1.0871,                0.63424,                0.42343,                0.46138,                0.28094,                0.55944,                 0.3553,                0.36249,                0.18077,                 1.4128,                 3.1556,                 1.0179,                 1.1747,              0.0080596,              0.0080596,              0.0080596
                    100,                 1.1306,                 2.6052,                0.77013,                 1.0857,                0.60579,                0.43088,                0.46266,                 0.2817,                0.55689,                0.34351,                0.35937,                0.17809,                 1.4059,                 3.1554,                 1.0071,                 1.1713,              0.0080398,              0.0080398,              0.0080398
                    101,                 1.1327,                 2.6067,                0.77278,                  1.085,                 0.6017,                0.42765,                0.46077,                0.28253,                0.55418,                0.35498,                0.36634,                 0.1821,                  1.407,                 3.1476,                  1.005,                 1.1733,                0.00802,                0.00802,                0.00802
                    102,                 1.1332,                 2.6052,                 0.7745,                 1.0859,                0.60854,                0.43758,                0.46744,                0.28319,                0.53081,                0.36283,                0.36834,                0.18255,                 1.4058,                 3.1619,                 1.0138,                 1.1736,              0.0080002,              0.0080002,              0.0080002
                    103,                 1.1276,                 2.5918,                0.77173,                  1.086,                0.62262,                0.42773,                0.46388,                0.28123,                0.54461,                0.35895,                0.36255,                0.18027,                 1.4073,                 3.1466,                 1.0026,                  1.176,              0.0079804,              0.0079804,              0.0079804
                    104,                 1.1301,                 2.5987,                0.76998,                  1.084,                0.60478,                0.44052,                0.46792,                0.28455,                0.53991,                0.36588,                0.36777,                0.18353,                 1.4106,                 3.1478,                 1.0079,                 1.1761,              0.0079606,              0.0079606,              0.0079606
                    105,                  1.131,                 2.5999,                0.76821,                 1.0842,                0.60275,                0.43484,                0.46021,                0.27806,                0.55335,                0.35369,                 0.3592,                 0.1797,                 1.4096,                 3.1607,                 1.0143,                 1.1777,              0.0079408,              0.0079408,              0.0079408
                    106,                 1.1251,                 2.5917,                0.76547,                  1.083,                0.60095,                0.43227,                0.46021,                0.28106,                0.54478,                0.35876,                0.35935,                0.18095,                 1.4092,                 3.1477,                 1.0121,                 1.1763,               0.007921,               0.007921,               0.007921
                    107,                 1.1269,                 2.6026,                0.76519,                 1.0809,                0.64297,                0.42329,                0.46744,                0.28414,                0.55353,                0.35971,                0.36771,                0.18216,                 1.4117,                 3.1409,                 1.0042,                 1.1796,              0.0079012,              0.0079012,              0.0079012
                    108,                 1.1235,                 2.5804,                0.76096,                 1.0802,                0.61918,                0.43477,                0.46658,                0.28096,                0.54161,                0.36266,                0.36579,                  0.182,                 1.4098,                 3.1583,                 1.0151,                 1.1789,              0.0078814,              0.0078814,              0.0078814
                    109,                  1.118,                 2.5795,                0.76035,                 1.0799,                 0.6019,                 0.4333,                0.46664,                0.28185,                0.52042,                 0.3578,                0.36298,                0.17912,                  1.415,                 3.1706,                 1.0057,                 1.1808,              0.0078616,              0.0078616,              0.0078616
                    110,                 1.1233,                 2.5767,                 0.7626,                  1.082,                0.64033,                0.42524,                0.46772,                0.28256,                0.55684,                0.35059,                0.35952,                0.18048,                 1.4088,                 3.1604,                 1.0085,                 1.1754,              0.0078418,              0.0078418,              0.0078418
                    111,                 1.1214,                  2.582,                0.75955,                 1.0788,                0.62196,                0.42433,                0.46392,                0.28104,                0.55688,                0.35243,                0.35851,                0.17937,                 1.4132,                 3.1796,                 1.0129,                 1.1834,               0.007822,               0.007822,               0.007822
                    112,                 1.1159,                  2.566,                0.75706,                 1.0759,                0.58625,                0.44086,                0.46581,                0.28079,                0.52577,                0.35344,                0.36143,                0.17695,                 1.4073,                 3.1729,                 1.0073,                 1.1767,              0.0078022,              0.0078022,              0.0078022
                    113,                  1.121,                 2.5753,                0.76113,                 1.0806,                0.62996,                 0.4378,                0.46921,                 0.2822,                0.53971,                0.36231,                0.36059,                0.18158,                 1.4064,                 3.1647,                0.99598,                 1.1794,              0.0077824,              0.0077824,              0.0077824
                    114,                  1.115,                 2.5642,                0.75512,                 1.0771,                0.59306,                0.44261,                 0.4643,                0.28025,                0.50839,                0.36557,                0.35827,                  0.179,                 1.4094,                  3.182,                 1.0036,                 1.1797,              0.0077626,              0.0077626,              0.0077626
                    115,                 1.1136,                 2.5689,                0.75572,                 1.0752,                0.63124,                0.43339,                0.46777,                0.28213,                0.55614,                0.35806,                0.36508,                0.18219,                 1.4092,                  3.165,                 1.0012,                 1.1786,              0.0077428,              0.0077428,              0.0077428
                    116,                 1.1124,                 2.5561,                 0.7531,                  1.074,                0.60631,                0.43982,                0.47016,                0.28512,                0.54228,                0.36168,                0.36644,                0.18353,                 1.4066,                  3.168,                0.99783,                  1.175,               0.007723,               0.007723,               0.007723
                    117,                 1.1142,                 2.5661,                0.75224,                 1.0741,                0.63497,                0.42873,                0.46877,                0.28373,                0.54823,                0.35889,                0.36501,                0.18241,                 1.4078,                 3.1577,                  1.003,                 1.1789,              0.0077032,              0.0077032,              0.0077032
                    118,                 1.1129,                 2.5635,                0.75346,                 1.0753,                  0.623,                0.42925,                0.46565,                0.28262,                0.54659,                0.35981,                0.36342,                0.18265,                 1.4069,                 3.1667,                 1.0004,                 1.1757,              0.0076834,              0.0076834,              0.0076834
                    119,                 1.1122,                 2.5574,                   0.75,                 1.0736,                0.61535,                0.43727,                0.46905,                 0.2854,                0.54559,                0.35888,                0.36405,                0.18395,                 1.4089,                 3.1786,                0.99853,                 1.1772,              0.0076636,              0.0076636,              0.0076636
                    120,                 1.1124,                 2.5469,                0.74923,                 1.0758,                0.64972,                0.42661,                0.47507,                0.28558,                0.55401,                0.35792,                0.36546,                0.18389,                 1.4122,                 3.1871,                 1.0032,                 1.1792,              0.0076438,              0.0076438,              0.0076438
                    121,                 1.1139,                 2.5596,                0.74929,                 1.0744,                0.63046,                0.43296,                0.47086,                0.28286,                 0.5502,                0.35932,                0.36855,                0.18405,                 1.4132,                 3.1679,                 1.0045,                 1.1794,               0.007624,               0.007624,               0.007624
                    122,                 1.1063,                 2.5446,                0.75024,                 1.0714,                0.60323,                0.44594,                0.47165,                0.28592,                0.55865,                0.35816,                0.36873,                0.18462,                 1.4086,                 3.1748,                 1.0029,                 1.1761,              0.0076042,              0.0076042,              0.0076042
                    123,                 1.1089,                 2.5485,                0.74512,                 1.0717,                0.62618,                0.42924,                 0.4688,                0.28262,                0.56138,                0.35198,                0.36391,                0.18068,                 1.4087,                  3.169,                  1.003,                 1.1806,              0.0075844,              0.0075844,              0.0075844
                    124,                 1.1061,                  2.541,                0.74581,                 1.0733,                0.61894,                0.43221,                0.46673,                0.28463,                0.55404,                0.35842,                0.36558,                0.18144,                 1.4108,                 3.1633,                 1.0038,                 1.1802,              0.0075646,              0.0075646,              0.0075646
