                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     23,                 1.2849,                 2.9593,                0.96346,                 1.1755,                0.58647,                0.41116,                0.44254,                0.27113,                0.53105,                0.34149,                0.34832,                0.17823,                 1.4354,                 3.1649,                 1.0747,                 1.1797,              0.0095644,              0.0095644,              0.0095644
                     24,                 1.2811,                 2.9557,                0.96167,                  1.176,                 0.5701,                  0.414,                0.44362,                0.27013,                0.52414,                0.34942,                0.35502,                0.17771,                 1.4283,                 3.1448,                 1.0713,                 1.1767,              0.0095446,              0.0095446,              0.0095446
                     25,                 1.2826,                  2.942,                0.96128,                 1.1762,                0.60557,                0.40141,                0.44328,                0.26912,                0.53369,                0.33844,                0.34663,                0.17561,                 1.4293,                 3.1537,                 1.0698,                 1.1755,              0.0095248,              0.0095248,              0.0095248
                     26,                 1.2757,                 2.9325,                0.95382,                 1.1692,                0.60455,                0.40184,                0.44368,                0.26961,                0.52578,                0.33986,                0.34891,                0.17421,                 1.4218,                 3.1629,                   1.07,                 1.1783,               0.009505,               0.009505,               0.009505
                     27,                 1.2732,                 2.9354,                0.94833,                 1.1663,                0.58164,                0.40786,                0.43466,                0.26208,                0.50692,                0.33552,                0.33916,                0.16948,                 1.4256,                 3.1534,                 1.0752,                 1.1733,              0.0094852,              0.0094852,              0.0094852
                     28,                 1.2705,                 2.9264,                0.94565,                 1.1662,                0.57356,                0.41198,                0.44575,                0.27134,                0.50254,                0.34753,                0.35404,                0.17848,                 1.4192,                 3.1553,                 1.0588,                 1.1727,              0.0094654,              0.0094654,              0.0094654
                     29,                 1.2637,                 2.9128,                0.93971,                 1.1632,                  0.598,                0.40565,                0.44462,                0.27221,                0.54178,                0.34112,                0.35115,                0.17597,                 1.4119,                 3.1335,                 1.0522,                 1.1713,              0.0094456,              0.0094456,              0.0094456
                     30,                 1.2642,                 2.9118,                0.94153,                 1.1667,                0.58182,                0.42157,                0.44749,                0.27047,                0.52151,                0.34962,                0.35101,                 0.1765,                  1.419,                 3.1434,                 1.0619,                 1.1722,              0.0094258,              0.0094258,              0.0094258
                     31,                 1.2613,                 2.8959,                0.92641,                  1.157,                0.56694,                0.42262,                0.44455,                0.27015,                0.51568,                0.34988,                0.35065,                0.17754,                 1.4216,                 3.1393,                 1.0532,                 1.1697,               0.009406,               0.009406,               0.009406
                     32,                 1.2611,                 2.8971,                0.93103,                 1.1636,                0.56614,                 0.4216,                0.44926,                0.27309,                0.50294,                0.35373,                0.35938,                0.18079,                 1.4144,                 3.1383,                 1.0452,                 1.1657,              0.0093862,              0.0093862,              0.0093862
                     33,                 1.2594,                 2.8999,                0.92762,                 1.1589,                0.60148,                0.41042,                0.45073,                0.27091,                0.50657,                0.34758,                0.35168,                0.17612,                 1.4166,                 3.1314,                 1.0581,                 1.1713,              0.0093664,              0.0093664,              0.0093664
